Reference,MaterialSample-ID (received),MaterialSampleID,MaterialSample-ID (EMOBON),Sequence_batch,Gene,Sample_code,DNA_code,Concentration_ng_per_µl,Volume_µl,Quantity_vol,Tag,Code,Forward_read,Reverse_read,PCR_negative_control_extraction,PCR_negative_control_Code_1,PCR_negative_control_Code_2,Number_of_sequences,Comment_1,Comment_2,Run
EMOBON00546,EMOBON_MarBlo_S1_220607_220907_MF100,ARMS_Roscoff_MarBloR1_20220607_20220907_MF100_s1_r1,EMOBON_ROSKOGO_MarBloR1_Ha_220607_220907_MF100_1,Batch3.1 (probably 3.2),18S rRNA (V1-V2),DBN_AAAH,DBP_AAAC,"47,6",43,"2046,8",DBQ_AAAA,DBQ_AAAAOSTA_1_HGVH5DRX3.UDI364-BID16,DBQ_AAAAOSTA_1_1_HGVH5DRX3.UDI364-BID16_clean.fastq.gz,DBQ_AAAAOSTA_1_2_HGVH5DRX3.UDI364-BID16_clean.fastq.gz,not reported by Genoscope,CEB_DCX,CEB_DCY,2263795,,ARMS organisms sample from station ROSKOGO,230912_JARVIS_HGVH5DRX3
EMOBON00561,NR_1 - 29/12/21_SF_rep1,ARMS_Eilat_NR1_20201227_20211229_SF_s1_r1,EMOBON_IUIEilat1_NR1_Ha_201227_211229_SF_1,Batch3.1,18S rRNA (V1-V2),DBN_AAAI,DBP_AAJO,723,90,"65,1",DBQ_AAVP,DBQ_AAVPOSTA_2_H5FGYDRX5.UDI304-BID16,DBQ_AAVPOSTA_2_1_H5FGYDRX5.UDI304-BID16_clean.fastq.gz,DBQ_AAVPOSTA_2_2_H5FGYDRX5.UDI304-BID16_clean.fastq.gz,not reported by Genoscope,CEB_DFR,CEB_DFS,16553078,,ARMS organisms sample from station IUIEilat,240411_JARVIS_H5FGYDRX5
EMOBON00562,NR_1 - 29/12/21_SF_rep2,ARMS_Eilat_NR1_20201227_20211229_SF_s2_r1,EMOBON_IUIEilat1_NR1_Ha_201227_211229_SF_2,Batch3.1,18S rRNA (V1-V2),DBN_AAAJ,DBP_AAAG,"0,44",100,44,DBQ_AAJA,DBQ_AAJAOSTA_2_H3KVNDRX5.UDI317-BID02,DBQ_AAJAOSTA_2_1_H3KVNDRX5.UDI317-BID02_clean.fastq.gz,DBQ_AAJAOSTA_2_2_H3KVNDRX5.UDI317-BID02_clean.fastq.gz,not reported by Genoscope,CEB_DEZ,CEB_DFA,1451677,,ARMS organisms sample from station IUIEilat,240409_JARVIS_H3KVNDRX5
EMOBON00563,NR_1 - 29/12/21_MF100_rep1_tube de  15ml,ARMS_Eilat_NR1_20201227_20211229_MF100_s1_r1,EMOBON_IUIEilat1_NR1_Ha_201227_211229_MF100_1,Batch3.1,18S rRNA (V1-V2),DBN_AAAK,DBP_AABM,"1,48",108,"159,8",DBQ_AACE,DBQ_AACEOSTA_1_HW5CMDRX3.UDI086-BID04,DBQ_AACEOSTA_1_1_HW5CMDRX3.UDI086-BID04_clean.fastq.gz,DBQ_AACEOSTA_1_2_HW5CMDRX3.UDI086-BID04_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,3166925,,ARMS organisms sample from station IUIEilat,240313_JARVIS_HW5CMDRX3
EMOBON00564,NR_1 - 29/12/21_MF100_rep2_tube de  15ml,ARMS_Eilat_NR1_20201227_20211229_MF100_s2_r1,EMOBON_IUIEilat1_NR1_Ha_201227_211229_MF100_2,Batch3.1,18S rRNA (V1-V2),DBN_AAAL,DBP_AABN,"2,78",108,"300,2",DBQ_AACF,DBQ_AACFOSTA_1_HW5CMDRX3.UDI027-BID04,DBQ_AACFOSTA_1_1_HW5CMDRX3.UDI027-BID04_clean.fastq.gz,DBQ_AACFOSTA_1_2_HW5CMDRX3.UDI027-BID04_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,3014455,,ARMS organisms sample from station IUIEilat,240313_JARVIS_HW5CMDRX3
EMOBON00565,NR_1 - 29/12/21_MF500_rep1_tube de  15ml,ARMS_Eilat_NR1_20201227_20211229_MF500_s1_r1,EMOBON_IUIEilat1_NR1_Ha_201227_211229_MF500_1,Batch3.1,18S rRNA (V1-V2),DBN_AAAM,DBP_AABO,"2,65",108,"286,2",DBQ_AAIR,DBQ_AAIROSTA_1_HW5CMDRX3.UDI003-BID08,DBQ_AAIROSTA_1_1_HW5CMDRX3.UDI003-BID08_clean.fastq.gz,DBQ_AAIROSTA_1_2_HW5CMDRX3.UDI003-BID08_clean.fastq.gz,not reported by Genoscope,CEB_DEX,CEB_DEY,1050306,,ARMS organisms sample from station IUIEilat,240313_JARVIS_HW5CMDRX3
EMOBON00566,NR_1 - 29/12/21_MF500_rep2_tube de  15ml,ARMS_Eilat_NR1_20201227_20211229_MF500_s2_r1,EMOBON_IUIEilat1_NR1_Ha_201227_211229_MF500_2,Batch3.1,18S rRNA (V1-V2),DBN_AAAN,DBP_AABP,"1,9",108,"205,2",DBQ_AAIS,DBQ_AAISOSTA_1_HW5CMDRX3.UDI003-BID09,DBQ_AAISOSTA_1_1_HW5CMDRX3.UDI003-BID09_clean.fastq.gz,DBQ_AAISOSTA_1_2_HW5CMDRX3.UDI003-BID09_clean.fastq.gz,not reported by Genoscope,CEB_DEX,CEB_DEY,613464,,ARMS organisms sample from station IUIEilat,240313_JARVIS_HW5CMDRX3
EMOBON00567,NR_2 - 03/01/22_SF_rep1,ARMS_Eilat_NR2_20201227_20220103_SF_s1_r1,EMOBON_IUIEilat1_NR2_Ha_201227_220103_SF_1,Batch3.1,18S rRNA (V1-V2),DBN_AAAO,DBP_AAJP,672,90,"60,5",DBQ_AAWG,DBQ_AAWGOSTA_1_H3L7NDRX5.UDI327-BID08,DBQ_AAWGOSTA_1_1_H3L7NDRX5.UDI327-BID08_clean.fastq.gz,DBQ_AAWGOSTA_1_2_H3L7NDRX5.UDI327-BID08_clean.fastq.gz,not reported by Genoscope,CEB_DFT,CEB_DFU,193010,Sequencing will be repeated,ARMS organisms sample from station IUIEilat,240409_JARVIS_H3L7NDRX5
EMOBON00567,NR_2 - 03/01/22_SF_rep1,ARMS_Eilat_NR2_20201227_20220103_SF_s1_r1,EMOBON_IUIEilat1_NR2_Ha_201227_220103_SF_1,Batch3.1,18S rRNA (V1-V2),DBN_AAAO,DBP_AAJP,672,90,"60,5",DBQ_AAWG,DBQ_AAWGOSTA_1_H55TTDRX5.UDI037-BID08,DBQ_AAWGOSTA_1_1_H55TTDRX5.UDI037-BID08_clean.fastq.gz,DBQ_AAWGOSTA_1_2_H55TTDRX5.UDI037-BID08_clean.fastq.gz,not reported by Genoscope,CEB_DFT,CEB_DFU,553207,Repeated sequencing,ARMS organisms sample from station IUIEilat,240619_JARVIS_H55TTDRX5
EMOBON00568,NR_2 - 03/01/22_SF_rep2,ARMS_Eilat_NR2_20201227_20220103_SF_s2_r1,EMOBON_IUIEilat1_NR2_Ha_201227_220103_SF_2,Batch3.1,18S rRNA (V1-V2),DBN_AAAP,DBP_AAJQ,497,90,"44,7",DBQ_AAWH,DBQ_AAWHOSTA_1_H3L7NDRX5.UDI327-BID09,DBQ_AAWHOSTA_1_1_H3L7NDRX5.UDI327-BID09_clean.fastq.gz,DBQ_AAWHOSTA_1_2_H3L7NDRX5.UDI327-BID09_clean.fastq.gz,not reported by Genoscope,CEB_DFT,CEB_DFU,205834,Sequencing will be repeated,ARMS organisms sample from station IUIEilat,240409_JARVIS_H3L7NDRX5
EMOBON00568,NR_2 - 03/01/22_SF_rep2,ARMS_Eilat_NR2_20201227_20220103_SF_s2_r1,EMOBON_IUIEilat1_NR2_Ha_201227_220103_SF_2,Batch3.1,18S rRNA (V1-V2),DBN_AAAP,DBP_AAJQ,497,90,"44,7",DBQ_AAWH,DBQ_AAWHOSTA_1_H55TTDRX5.UDI025-BID09,DBQ_AAWHOSTA_1_1_H55TTDRX5.UDI025-BID09_clean.fastq.gz,DBQ_AAWHOSTA_1_2_H55TTDRX5.UDI025-BID09_clean.fastq.gz,not reported by Genoscope,CEB_DFT,CEB_DFU,266465,Repeated sequencing,ARMS organisms sample from station IUIEilat,240619_JARVIS_H55TTDRX5
EMOBON00569,NR_2 - 03/01/22_MF100_rep1_tube de  15ml,ARMS_Eilat_NR2_20201227_20220103_MF100_s1_r1,EMOBON_IUIEilat1_NR2_Ha_201227_220103_MF100_1,Batch3.1,18S rRNA (V1-V2),DBN_AAAQ,DBP_AAHD,"4,857",90,"437,1",DBQ_AATE,DBQ_AATEOSTA_2_H5FGYDRX5.UDI316-BID02,DBQ_AATEOSTA_2_1_H5FGYDRX5.UDI316-BID02_clean.fastq.gz,DBQ_AATEOSTA_2_2_H5FGYDRX5.UDI316-BID02_clean.fastq.gz,not reported by Genoscope,CEB_DFR,CEB_DFS,532795,Sequencing will be repeated,ARMS organisms sample from station IUIEilat,240411_JARVIS_H5FGYDRX5
EMOBON00569,NR_2 - 03/01/22_MF100_rep1_tube de  15ml,ARMS_Eilat_NR2_20201227_20220103_MF100_s1_r1,EMOBON_IUIEilat1_NR2_Ha_201227_220103_MF100_1,Batch3.1,18S rRNA (V1-V2),DBN_AAAQ,DBP_AAHD,"4,857",90,"437,1",DBQ_AATE,DBQ_AATEOSTA_1_H55TTDRX5.UDI025-BID02,DBQ_AATEOSTA_1_1_H55TTDRX5.UDI025-BID02_clean.fastq.gz,DBQ_AATEOSTA_1_2_H55TTDRX5.UDI025-BID02_clean.fastq.gz,not reported by Genoscope,CEB_DFR,CEB_DFS,11189922,Repeated sequencing,ARMS organisms sample from station IUIEilat,240619_JARVIS_H55TTDRX5
EMOBON00570,NR_2 - 03/01/22_MF100_rep2_tube de  15ml,ARMS_Eilat_NR2_20201227_20220103_MF100_s2_r1,EMOBON_IUIEilat1_NR2_Ha_201227_220103_MF100_2,Batch3.1,18S rRNA (V1-V2),DBN_AAAR,DBP_AAHE,"4,658",90,"419,2",DBQ_AATF,DBQ_AATFOSTA_2_H5FGYDRX5.UDI328-BID02,DBQ_AATFOSTA_2_1_H5FGYDRX5.UDI328-BID02_clean.fastq.gz,DBQ_AATFOSTA_2_2_H5FGYDRX5.UDI328-BID02_clean.fastq.gz,not reported by Genoscope,CEB_DFR,CEB_DFS,1317524,,ARMS organisms sample from station IUIEilat,240411_JARVIS_H5FGYDRX5
EMOBON00571,NR_2 - 03/01/22_MF500_rep1_tube de  15ml,ARMS_Eilat_NR2_20201227_20220103_MF500_s1_r1,EMOBON_IUIEilat1_NR2_Ha_201227_220103_MF500_1,Batch3.1,18S rRNA (V1-V2),DBN_AAAS,DBP_AAHF,"1,618",90,"145,6",DBQ_AAVW,DBQ_AAVWOSTA_1_H3L7NDRX5.UDI315-BID02,DBQ_AAVWOSTA_1_1_H3L7NDRX5.UDI315-BID02_clean.fastq.gz,DBQ_AAVWOSTA_1_2_H3L7NDRX5.UDI315-BID02_clean.fastq.gz,not reported by Genoscope,CEB_DFT,CEB_DFU,2865280,,ARMS organisms sample from station IUIEilat,240409_JARVIS_H3L7NDRX5
EMOBON00572,NR_2 - 03/01/22_MF500_rep2_tube de  15ml,ARMS_Eilat_NR2_20201227_20220103_MF500_s2_r1,EMOBON_IUIEilat1_NR2_Ha_201227_220103_MF500_2,Batch3.1,18S rRNA (V1-V2),DBN_AAAT,DBP_AAHG,"2,297",90,"206,7",DBQ_AATH,DBQ_AATHOSTA_1_H3L7NDRX5.UDI339-BID02,DBQ_AATHOSTA_1_1_H3L7NDRX5.UDI339-BID02_clean.fastq.gz,DBQ_AATHOSTA_1_2_H3L7NDRX5.UDI339-BID02_clean.fastq.gz,not reported by Genoscope,CEB_DFR,CEB_DFS,1328350,,ARMS organisms sample from station IUIEilat,240409_JARVIS_H3L7NDRX5
EMOBON00573,NR_3 - 05/01/22_SF_rep1,ARMS_Eilat_NR3_20201227_20220105_SF_s1_r1,EMOBON_IUIEilat1_NR3_Ha_201227_220105_SF_1,Batch3.1,18S rRNA (V1-V2),DBN_AAAU,DBP_AAAK,"3,3",100,330,DBQ_AAJB,DBQ_AAJBOSTA_2_H3KVNDRX5.UDI329-BID02,DBQ_AAJBOSTA_2_1_H3KVNDRX5.UDI329-BID02_clean.fastq.gz,DBQ_AAJBOSTA_2_2_H3KVNDRX5.UDI329-BID02_clean.fastq.gz,not reported by Genoscope,CEB_DEZ,CEB_DFA,1391909,,ARMS organisms sample from station IUIEilat,240409_JARVIS_H3KVNDRX5
EMOBON00574,NR_3 - 05/01/22_SF_rep2,ARMS_Eilat_NR3_20201227_20220105_SF_s2_r1,EMOBON_IUIEilat1_NR3_Ha_201227_220105_SF_2,Batch3.1,18S rRNA (V1-V2),DBN_AAAV,DBP_AAAO,"3,38",100,338,DBQ_AAJE,DBQ_AAJEOSTA_2_H5FGYDRX5.UDI364-BID04,DBQ_AAJEOSTA_2_1_H5FGYDRX5.UDI364-BID04_clean.fastq.gz,DBQ_AAJEOSTA_2_2_H5FGYDRX5.UDI364-BID04_clean.fastq.gz,not reported by Genoscope,CEB_DEZ,CEB_DFA,2165014,,ARMS organisms sample from station IUIEilat,240411_JARVIS_H5FGYDRX5
EMOBON00575,NR_3 - 05/01/22_MF100_rep1_tube de  15ml,ARMS_Eilat_NR3_20201227_20220105_MF100_s1_r1,EMOBON_IUIEilat1_NR3_Ha_201227_220105_MF100_1,Batch3.1,18S rRNA (V1-V2),DBN_AAAW,DBP_AAHH,"9,475",90,"852,8",DBQ_AATI,DBQ_AATIOSTA_2_H5FGYDRX5.UDI363-BID04,DBQ_AATIOSTA_2_1_H5FGYDRX5.UDI363-BID04_clean.fastq.gz,DBQ_AATIOSTA_2_2_H5FGYDRX5.UDI363-BID04_clean.fastq.gz,not reported by Genoscope,CEB_DFR,CEB_DFS,4306703,,ARMS organisms sample from station IUIEilat,240411_JARVIS_H5FGYDRX5
EMOBON00576,NR_3 - 05/01/22_MF100_rep2_tube de  15ml,ARMS_Eilat_NR3_20201227_20220105_MF100_s2_r1,EMOBON_IUIEilat1_NR3_Ha_201227_220105_MF100_2,Batch3.1,18S rRNA (V1-V2),DBN_AAAX,DBP_AAHI,"4,857",90,"437,1",DBQ_AATJ,DBQ_AATJOSTA_1_H3L7NDRX5.UDI375-BID04,DBQ_AATJOSTA_1_1_H3L7NDRX5.UDI375-BID04_clean.fastq.gz,DBQ_AATJOSTA_1_2_H3L7NDRX5.UDI375-BID04_clean.fastq.gz,not reported by Genoscope,CEB_DFR,CEB_DFS,4247192,,ARMS organisms sample from station IUIEilat,240409_JARVIS_H3L7NDRX5
